Uniprot ID	Annotation
P30038	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)
P51649	Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)
Q02252	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)
P49419	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)
P04075	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)
P09525	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)
P08758	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)
P08133	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)
Q10567	AP-1 complex subunit beta-1 (Adapter-related protein complex 1 subunit beta-1) (Adaptor protein complex AP-1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit)
O94973	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adapter-related protein complex 2 subunit alpha-2) (Adaptor protein complex AP-2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)
P63010	AP-2 complex subunit beta (AP105B) (Adapter-related protein complex 2 subunit beta) (Adaptor protein complex AP-2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)
Q96CW1	AP-2 complex subunit mu (AP-2 mu chain) (Adapter-related protein complex 2 subunit mu) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)
O00203	AP-3 complex subunit beta-1 (Adapter-related protein complex 3 subunit beta-1) (Adaptor protein complex AP-3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)
O14617	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adapter-related protein complex 3 subunit delta-1) (Delta-adaptin)
Q9HDC9	Adipocyte plasma membrane-associated protein (Protein BSCv)
P04114	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]
P48444	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)
Q9NP61	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)
Q9Y6D6	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1) (p200 ARF guanine nucleotide exchange factor) (p200 ARF-GEP1)
Q07960	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoOGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)
Q8N392	Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18)
Q96KC2	ADP-ribosylation factor-like protein 5B (ADP-ribosylation factor-like protein 8)
Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1)
Q9NVT9	Armadillo repeat-containing protein 1
O15143	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)
O15144	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
O15145	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)
Q8N3C0	Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)
P08243	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)
Q12797	Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)
Q8NBU5	ATPase family AAA domain-containing protein 1 (EC 3.6.1.3) (Thorase)
P31939	Bifunctional purine biosynthesis protein PURH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]
P05023	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)
P05026	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)
P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 3.6.3.8) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)
P06576	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)
O75964	ATP synthase subunit g, mitochondrial (ATPase subunit g)
P48047	ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)
P38606	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 3.6.3.14) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)
P36543	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)
Q8WWM7	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)
Q9UQB8	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)
P51572	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28)
Q92843	Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W)
Q9NYF8	Bcl-2-associated transcription factor 1 (Btf)
Q12830	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)
P20290	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)
O43684	Mitotic checkpoint protein BUB3
Q7L1Q6	Basic leucine zipper and W2 domain-containing protein 1 (Protein Orf)
Q9BQ61	Uncharacterized protein C19orf43
P01024	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]
P0C0L4	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]
P04003	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)
Q9BRJ6	Uncharacterized protein C7orf50
Q96HJ9	UPF0562 protein C7orf55
P27708	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]
P62158	Calmodulin (CaM)
Q86VP6	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)
P27824	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)
Q01518	Adenylyl cyclase-associated protein 1 (CAP 1)
Q75N03	E3 ubiquitin-protein ligase Hakai (EC 6.3.2.-) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (RING finger protein 188) (c-Cbl-like protein 1)
P45973	Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha)
Q9P031	Thyroid transcription factor 1-associated protein 26 (TTF-1-associated protein 26) (Coiled-coil domain-containing protein 59) (TTF-1-associated protein BR2)
P14635	G2/mitotic-specific cyclin-B1
P49368	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)
P50991	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)
P48643	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)
P40227	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)
Q99832	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein)
P50990	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Renal carcinoma antigen NY-REN-15)
P30307	M-phase inducer phosphatase 3 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25C)
P06493	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)
Q14004	Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)
Q9UKY7	Protein CDV3 homolog
Q9NSP4	Centromere protein M (CENP-M) (Interphase centromere complex protein 39) (Proliferation-associated nuclear element protein 1)
Q9UEE9	Craniofacial development protein 1 (Bucentaur)
P05156	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]
P23528	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)
Q9Y6H1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)
Q9NX63	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial
Q14839	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)
Q07065	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)
Q14008	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)
O00299	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)
Q9NZA1	Chloride intracellular channel protein 5
Q14677	Clathrin interactor 1 (Clathrin-interacting protein localized in the trans-Golgi region) (Clint) (Enthoprotin) (Epsin-4) (Epsin-related protein) (EpsinR)
O76031	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial
Q00610	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)
Q99439	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)
Q15417	Calponin-3 (Calponin, acidic isoform)
P09543	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)
Q53SF7	Cordon-bleu protein-like 1
Q8NBJ5	Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)
P53621	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]
P53618	Coatomer subunit beta (Beta-coat protein) (Beta-COP)
Q9Y678	Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)
P13073	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)
P10606	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)
P09669	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)
P00450	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)
Q16630	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CFIm68) (CPSF 68 kDa subunit) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)
P43155	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)
P46109	Crk-like protein
O75390	Citrate synthase, mitochondrial (EC 2.3.3.1)
O75534	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)
P55060	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)
P48729	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)
P21291	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1)
P29279	Connective tissue growth factor (CCN family member 2) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8)
P35221	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)
P26232	Catenin alpha-2 (Alpha N-catenin) (Alpha-catenin-related protein)
P35222	Catenin beta-1 (Beta-catenin)
O60716	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))
P17812	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)
P10619	Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]
P07858	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]
P07339	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]
Q13616	Cullin-1 (CUL-1)
Q13617	Cullin-2 (CUL-2)
Q13618	Cullin-3 (CUL-3)
Q13620	Cullin-4B (CUL-4B)
Q14999	Cullin-7 (CUL-7)
Q02318	Sterol 26-hydroxylase, mitochondrial (EC 1.14.13.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)
Q16850	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)
Q3LXA3	Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]
Q7Z4W1	L-xylulose reductase (XR) (EC 1.1.1.10) (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase) (kiDCR) (Sperm surface protein P34H)
Q92466	DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2)
P39656	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit) (EC 2.4.99.18)
Q92499	ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1) (DEAD box protein retinoblastoma) (DBP-RB)
Q92841	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (RNA-dependent helicase p72)
Q9NVP1	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)
Q9NR30	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)
Q9GZR7	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)
O00571	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)
Q9UJV9	Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)
Q86XP3	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125)
Q7L014	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)
Q9NY93	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)
P26196	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)
Q16698	2,4-dienoyl-CoA reductase, mitochondrial (EC 1.3.1.34) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH])
P35659	Protein DEK
Q7Z401	C-myc promoter-binding protein (DENN domain-containing protein 4A)
Q15392	Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)
Q13268	Dehydrogenase/reductase SDR family member 2, mitochondrial (EC 1.1.1.-) (Dicarbonyl reductase HEP27) (Protein D)
O75911	Short-chain dehydrogenase/reductase 3 (EC 1.1.1.300) (DD83.1) (Retinal short-chain dehydrogenase/reductase 1) (retSDR1)
Q7L2E3	Putative ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)
Q8IY37	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)
Q92620	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13) (ATP-dependent RNA helicase DHX38) (DEAH box protein 38)
Q08211	ATP-dependent RNA helicase A (RHA) (EC 3.6.4.13) (DEAH box protein 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II)
Q9P265	Disco-interacting protein 2 homolog B (DIP2 homolog B)
